,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Fri Dec 15 10:31:40 +0000 2023,1735608555141730048,"Ganjar Pranowo dan Pak Mahfud MD, semoga kepemimpinan Anda memancarkan kehangatan seperti dalam keluarga. @titysl  GP 4Presiden https://t.co/MQtWaa6lbN",0,0,0,0,in,1690610120311589888,1735608555141730048,firdaraisyaa,https://twitter.com/firdaraisyaa/status/1735608555141734513
1,Fri Dec 15 10:31:40 +0000 2023,1735608554323950080,"Ganjar Pranowo, gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik. @bakulojek  GP 4Presiden https://t.co/VWsZvfsvkz",0,0,0,0,in,1691369523004489984,1735608554323950080,zaraauliaaia,https://twitter.com/zaraauliaaia/status/1735608554323951975
2,Fri Dec 15 10:31:39 +0000 2023,1735608552843259904,Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia. @urcutebaby_  GP 4Presiden https://t.co/D2MWaMbWrg,0,0,0,0,in,"1,69E+18",1735608552843259904,adamalvnto1,https://twitter.com/adamalvnto1/status/1735608552843264005
3,Fri Dec 15 10:31:38 +0000 2023,1735608549248719872,Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga. @thvusergf  GP 4Presiden https://t.co/FDET6BxdUX,0,0,0,0,in,1689128132589329920,1735608549248719872,ZivaOktavia,https://twitter.com/ZivaOktavia/status/1735608549248729342
4,Fri Dec 15 10:31:38 +0000 2023,1735608548602889984,Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional. @BilaMuktadin  GP 4Presiden https://t.co/lfbDGm2dL5,0,0,0,0,in,1688485501551160064,1735608548602889984,dindafiitriii,https://twitter.com/dindafiitriii/status/1735608548602892453
5,Fri Dec 15 10:31:35 +0000 2023,1735608536552679936,Banyak yang meragukan komitmen Pak Ganjar dalam menangani masalah korupsi di daerahnya https://t.co/bLVhkZktCp,0,0,1,1,in,1566295200846070016,1735608536552679936,GanjarPranowoo,https://twitter.com/GanjarPranowoo/status/1735608536552689827
6,Fri Dec 15 10:31:34 +0000 2023,1735608529426480128,"Sebagian orang berpendapat bahwa program kesejahteraan yang dicanangkan Pak Ganjar memiliki potensi baik, tetapi masih perlu evaluasi lebih lanjut.. @TaufikH28_  GP 4Presiden https://t.co/XfxMQTuWuY",0,0,0,0,in,1689533591473289984,1735608529426480128,AjiRama48_,https://twitter.com/AjiRama48_/status/1735608529426481483
7,Fri Dec 15 10:31:33 +0000 2023,"1,74E+18",Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD! Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim. @stvrlight09  GP 4Presiden https://t.co/xYsz7Dr3Bu,0,0,0,0,in,1695085751862789888,"1,74E+18",shivacheziiy,https://twitter.com/shivacheziiy/status/1735608528285602101
8,Fri Dec 15 10:31:33 +0000 2023,1735608525517469952,Ganjar malam ini kurang baik dalam debat seperti terlihat menjadi wasit.,0,0,0,0,in,1394700610851589888,1735492753239490048,ihgajels,https://twitter.com/ihgajels/status/1735608525517475932
9,Fri Dec 15 10:31:32 +0000 2023,1735608520689779968,Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak. @baiqemi72  GP 4Presiden https://t.co/FhjzDyw9HF,0,0,0,0,in,1688091444194710016,1735608520689779968,hilmanputr80122,https://twitter.com/hilmanputr80122/status/1735608520689787203
10,Fri Dec 15 10:31:31 +0000 2023,1735608518936600064,Jakarta butuh pemimpin seperti Ganjar Pranowo yang memiliki kepemimpinan yang visioner dan nilai-nilai keluarga yang kuat. @ebenhezzer10884  GP 4Presiden https://t.co/QhZoqao8Nl,0,0,0,0,in,1683730639798000128,1735608518936600064,SeptiYulia79,https://twitter.com/SeptiYulia79/status/1735608518936600886
11,Fri Dec 15 10:31:31 +0000 2023,1735608518802289920,Masih belum percaya dengan kinerja pak ganjar banyak jalan rusak.,0,0,0,0,in,1444923233841690112,1735608518802289920,vaxeeva,https://twitter.com/vaxeeva/status/1735608518802293045
12,Fri Dec 15 10:31:30 +0000 2023,1735608515543369984,"Ganjar Pranowo dan Mahfud MD, dua sosok yang memiliki visi yang sejalan! Kemesraan keluarganya menjadi nilai tambah dalam kepemimpinan mereka. @IrvandaYo  GP 4Presiden https://t.co/SV3QffNIAL",0,0,0,0,in,"1,68E+18",1735608515543369984,RoySubari28,https://twitter.com/RoySubari28/status/1735608515543371791
13,Fri Dec 15 10:31:28 +0000 2023,1735608505539919872,Semakin yakin bahwa Jatim akan semakin sejahtera dengan kepemimpinan Mas Ganjar dan Pak Mahfud MD. Keluarga yang solid adalah pondasi utama. @ThoriqFajarF1  GP 4Presiden https://t.co/gZ6aMjVuUV,0,0,0,0,in,1691310107051899904,1735608505539919872,BintangPratmaaa,https://twitter.com/BintangPratmaaa/status/1735608505539928157
14,Fri Dec 15 10:31:28 +0000 2023,1735608504646579968,"Ganjar Pranowo dan Pak Mahfud MD membawa semangat persatuan keluarga ke seluruh lapisan masyarakat, menciptakan solidaritas yang kuat. @saavxz  GP 4Presiden https://t.co/JCru42lt7q",0,0,0,0,in,1685903298581469952,1735608504646579968,AndrianiLeisa,https://twitter.com/AndrianiLeisa/status/1735608504646586432
15,Fri Dec 15 10:31:28 +0000 2023,1735608503845469952,Kritik terhadap kebijakan pajak memberatkan lapisan masyarakat.,0,0,0,0,in,1688420589357459968,1735608503845469952,AjibMaulan3,https://twitter.com/AjibMaulan3/status/1735608503845470537
16,Fri Dec 15 10:31:27 +0000 2023,1735608502452900096,Kedekatan Ganjar Pranowo dengan alam dan keluarganya menciptakan citra bahwa beliau adalah pemimpin yang memiliki kepekaan terhadap kelestarian lingkungan dan nilai-nilai kekeluargaan. @vousmevoila  GP 4Presiden https://t.co/7xZ2ZPMcOL,0,0,0,0,in,1689520791292179968,1735608502452900096,YAnianty41,https://twitter.com/YAnianty41/status/1735608502452908469
17,Fri Dec 15 10:31:26 +0000 2023,1735608496685789952,"Ganjar Pranowo, terima kasih karena menjadi suara bagi rakyat. Bersama, kita bisa menciptakan Jakarta yang lebih sejahtera. @BlancheFumee  GP 4Presiden https://t.co/1Ylgcfv77Z",0,0,0,0,in,1688504946008940032,1735608496685789952,AuliaSyila7,https://twitter.com/AuliaSyila7/status/1735608496685793292
18,Fri Dec 15 10:31:25 +0000 2023,1735608495192600064,Dukungan kami selalu untuk Ganjar Pranowo dan Pak Mahfud MD. Semoga kehangatan keluarga mereka membawa berkah bagi Jatim dan Indonesia. @uno_unu  GP 4Presiden https://t.co/29ksUuUUmb,0,0,0,0,in,1689519802141070080,1735608495192600064,dedeiskandar00,https://twitter.com/dedeiskandar00/status/1735608495192600789
19,Fri Dec 15 10:31:25 +0000 2023,1735608494991320064,"Ganjar Pranowo hadiri rakorpimnas Inkindo, Ganjar dan Inkindo siap menuju Indonesia emas 2045 https://t.co/EgHpP7zRpk",0,0,0,1,in,"1,25E+18",1735608494991320064,akupadi5,https://twitter.com/akupadi5/status/1735608494991323451
20,Fri Dec 15 10:31:25 +0000 2023,1735608491812039936,Ganjar Kurang Tegas dalam mempimpin Jawa Tengah,0,0,0,0,in,1608317053294850048,1735295530719470080,denmaspudji,https://twitter.com/denmaspudji/status/1735608491812045026
21,Fri Dec 15 10:31:23 +0000 2023,1735608483381410048,"Mahfud MD, harapan kami agar semangat kebersamaan bisa terwujud dalam kepemimpinan bersama Ganjar Pranowo. @kimchiisfood  GP 4Presiden https://t.co/RGhRX0XKnN",0,0,0,0,in,1679891840689110016,1735608483381410048,SamuelAndr79384,https://twitter.com/SamuelAndr79384/status/1735608483381416260
22,Fri Dec 15 10:31:22 +0000 2023,1735608481896649984,"Jakarta percaya, Ganjar Pranowo adalah pemimpin yang bisa membawa perubahan yang diinginkan rakyat. @alllecc  GP 4Presiden https://t.co/9BpMM5nbkV",0,0,0,0,in,1682225589581910016,1735608481896649984,AriSury795,https://twitter.com/AriSury795/status/1735608481896653275
23,Fri Dec 15 10:31:22 +0000 2023,1735608480793550080,Semoga kepemimpinan Mas Ganjar Pranowo dan Pak Mahfud MD membawa Indonesia menuju kemajuan dan kesejahteraan yang lebih baik. @TaslicaliYahyaH  GP 4Presiden https://t.co/EDSe0m9SE8,0,0,0,0,in,1690474885238380032,1735608480793550080,elvinanezarani1,https://twitter.com/elvinanezarani1/status/1735608480793559319
24,Fri Dec 15 10:31:21 +0000 2023,1735608477727549952,"Dukungan penuh untuk Mas Ganjar Pranowo dan Pak Mahfud MD, semoga perjalanan politik mereka membawa berkah untuk rakyat Jawa Timur. @lluvmazelf  GP 4Presiden https://t.co/sTItp8zASx",0,0,0,0,in,1679793131854889984,1735608477727549952,LipaAlfa,https://twitter.com/LipaAlfa/status/1735608477727551791
25,Fri Dec 15 10:31:19 +0000 2023,1735608468332239872,Kedewasaan dalam memimpin keluarga oleh Ganjar Pranowo menjadi contoh untuk memimpin dengan bijaksana di tingkat nasional. @SabrinaKxmal  GP 4Presiden https://t.co/E9dWvBGf3U,0,0,0,0,in,1685548797483709952,1735608468332239872,jscmilania,https://twitter.com/jscmilania/status/1735608468332241108
26,Fri Dec 15 10:31:18 +0000 2023,1735608464880389888,"@ganjarpranowo @alamganjar14 Selamat ulang tahun, Alam Ganjar! Semoga hari ini penuh kebahagiaan dan canda tawa!",0,0,0,0,in,1394700610851589888,1735489352158129920,ihgajels,https://twitter.com/ihgajels/status/1735608464880390535
27,Fri Dec 15 10:31:18 +0000 2023,1735608463164890112,"Dukungan untuk Mas Ganjar Pranowo dan Pak Mahfud MD tidak hanya berasal dari keyakinan politik, tetapi juga dari kehangatan dan keakraban keluarga mereka. @si_puk  GP 4Presiden https://t.co/eJb8icZ29d",0,0,0,0,in,1684772882524900096,1735608463164890112,RaficaCaca,https://twitter.com/RaficaCaca/status/1735608463164895281
28,Fri Dec 15 10:31:18 +0000 2023,"1,74E+18",@denismalhotra dan semua org tau kalo Mak banteng mengirim 2 perwakilan. dik Gibran dan Ganjar 🤣,0,0,0,0,in,"1,69E+18","1,74E+18",666000kkk555,https://twitter.com/666000kkk555/status/1735608463139684615
